car_name,brand,model,year,selling_price_lakh,km_driven,fuel,seller_type,transmission,owner,mileage_kmpl,engine_cc,max_power_bhp,seats
Renault Triber,Renault,Triber,2022,4.84,83853,Diesel,Dealer,Manual,First Owner,12.6,1618.0,103.8,5
Toyota Innova,Toyota,Innova,2020,6.46,87509,Petrol,Dealer,Manual,First Owner,14.8,1659.0,103.4,5
Volkswagen Vento,Volkswagen,Vento,2023,6.5,55137,Petrol,Dealer,Manual,First Owner,21.9,1105.0,86.5,5
Hyundai Grand i10,Hyundai,Grand i10,2018,4.17,74396,Petrol,Individual,Automatic,First Owner,17.3,1198.0,79.7,5
Mahindra Scorpio,Mahindra,Scorpio,2020,4.3,90391,Petrol,Individual,Manual,First Owner,22.1,800.0,49.2,5
Kia EV6,Kia,EV6,2017,3.65,77320,Diesel,Individual,Manual,First Owner,,1131.0,70.6,5
Volkswagen Vento,Volkswagen,Vento,2023,6.82,74404,CNG,Individual,Manual,First Owner,18.7,1582.0,109.7,7
Maruti Dzire,Maruti,Dzire,2013,1.51,187782,CNG,Dealer,Manual,First Owner,,1514.0,96.9,5
Tata Nexon,Tata,Nexon,2015,2.24,146703,CNG,Dealer,Manual,First Owner,19.2,1170.0,77.6,5
Maruti Dzire,Maruti,Dzire,2013,1.88,145803,Petrol,Dealer,Manual,First Owner,11.5,1795.0,122.2,7
Maruti Baleno,Maruti,Baleno,2021,3.93,76116,Petrol,Dealer,Automatic,Second Owner,17.7,1066.0,66.3,5
Ford Aspire,Ford,Aspire,2015,2.91,74347,Diesel,Individual,Manual,First Owner,24.1,949.0,49.3,7
Volkswagen Taigun,Volkswagen,Taigun,2016,3.61,81409,Electric,Dealer,Automatic,Second Owner,16.4,1036.0,65.2,5
Mahindra XUV500,Mahindra,XUV500,2022,6.32,99721,Diesel,Individual,Manual,First Owner,21.5,807.0,61.3,5
Hyundai i20,Hyundai,i20,2016,2.42,93125,Petrol,Dealer,Automatic,First Owner,12.1,1418.0,91.0,7
Tata Harrier,Tata,Harrier,2013,2.7,114616,Diesel,Individual,Automatic,Third Owner,15.1,,74.1,5
Tata Harrier,Tata,Harrier,2012,2.1,132855,Diesel,Individual,Manual,First Owner,18.9,1413.0,100.8,5
Maruti Dzire,Maruti,Dzire,2014,1.91,100134,CNG,Individual,Manual,First Owner,19.2,1055.0,74.3,5
Maruti Baleno,Maruti,Baleno,2023,5.08,38011,Diesel,Individual,Manual,First Owner,17.7,1180.0,83.0,5
Tata Harrier,Tata,Harrier,2019,3.81,89889,Petrol,Individual,Manual,First Owner,18.9,800.0,62.4,7
Hyundai i20,Hyundai,i20,2024,6.84,38886,Petrol,Individual,Manual,First Owner,13.6,1332.0,77.9,5
Ford Figo,Ford,Figo,2014,2.15,107197,Petrol,Individual,Manual,First Owner,19.5,1235.0,85.3,5
Tata Altroz,Tata,Altroz,2016,2.8,93313,Petrol,Trustmark Dealer,Automatic,First Owner,19.9,815.0,67.1,5
Renault Kwid,Renault,Kwid,2014,2.34,134991,CNG,Individual,Automatic,Second Owner,15.5,,88.1,5
Ford Aspire,Ford,Aspire,2017,2.74,98893,Petrol,Individual,Manual,First Owner,18.9,1110.0,81.8,5
Hyundai Verna,Hyundai,Verna,2019,4.45,87071,Petrol,Dealer,Manual,First Owner,16.1,1818.0,119.1,5
Renault Kwid,Renault,Kwid,2022,4.9,84632,Petrol,Individual,Manual,Second Owner,20.0,829.0,46.7,5
Volkswagen Virtus,Volkswagen,Virtus,2016,2.52,107375,Diesel,Dealer,Manual,First Owner,17.9,1316.0,87.3,5
Tata Harrier,Tata,Harrier,2022,4.7,65378,Petrol,Individual,Automatic,Second Owner,20.5,818.0,52.3,5
Hyundai Verna,Hyundai,Verna,2020,4.62,94849,Petrol,Individual,Manual,First Owner,18.0,1005.0,80.5,5
Ford Aspire,Ford,Aspire,2015,2.29,131700,CNG,Individual,Manual,First Owner,17.9,1297.0,95.4,5
Maruti Baleno,Maruti,Baleno,2023,4.55,61764,Petrol,Individual,Manual,Second Owner,20.2,1126.0,69.3,5
Maruti Baleno,Maruti,Baleno,2017,1.86,105773,Petrol,Dealer,Manual,First Owner,20.4,1198.0,80.5,5
Maruti Wagon R,Maruti,Wagon R,2013,2.02,112800,Petrol,Dealer,Manual,Second Owner,,1316.0,89.4,5
Volkswagen Virtus,Volkswagen,Virtus,2024,7.56,39564,Diesel,Individual,Manual,First Owner,17.9,1027.0,78.7,5
Ford Aspire,Ford,Aspire,2023,5.86,81921,Diesel,Trustmark Dealer,Manual,Second Owner,17.9,1509.0,84.6,5
Ford Aspire,Ford,Aspire,2012,1.97,146288,CNG,Individual,Manual,First Owner,19.9,1093.0,57.4,5
Volkswagen Virtus,Volkswagen,Virtus,2023,7.32,75016,Petrol,Individual,Automatic,First Owner,17.1,1166.0,79.4,7
Tata Nexon,Tata,Nexon,2024,6.83,64678,Electric,Dealer,Manual,First Owner,16.7,1326.0,67.7,5
Honda Amaze,Honda,Amaze,2022,7.47,72516,Diesel,Dealer,Automatic,Third Owner,19.3,,86.6,5
Maruti Baleno,Maruti,Baleno,2015,1.56,132321,Petrol,Individual,Manual,First Owner,19.8,1425.0,98.1,5
Maruti Baleno,Maruti,Baleno,2020,3.25,105072,Petrol,Individual,Manual,First Owner,14.1,1311.0,97.0,5
Ford Aspire,Ford,Aspire,2018,3.09,117547,Petrol,Individual,Automatic,Second Owner,20.7,1364.0,85.0,5
Tata Altroz,Tata,Altroz,2020,3.86,82282,CNG,Individual,Manual,First Owner,21.3,1086.0,76.0,7
Honda WR-V,Honda,WR-V,2020,4.72,115013,Petrol,Dealer,Manual,First Owner,20.8,826.0,65.6,5
Volkswagen Virtus,Volkswagen,Virtus,2020,4.38,89526,Petrol,Individual,Manual,First Owner,20.1,800.0,49.6,7
Toyota Fortuner,Toyota,Fortuner,2018,5.94,111412,Diesel,Dealer,Automatic,First Owner,21.3,800.0,66.3,5
Honda City,Honda,City,2020,5.25,90705,CNG,Individual,Automatic,First Owner,13.6,1817.0,117.1,5
Honda Jazz,Honda,Jazz,2018,3.1,102934,Diesel,Individual,Manual,First Owner,20.2,800.0,54.2,5
Hyundai Grand i10,Hyundai,Grand i10,2012,2.5,120313,Diesel,Individual,Manual,First Owner,13.1,1618.0,105.1,5
Maruti Baleno,Maruti,Baleno,2012,1.92,151929,Petrol,Individual,Manual,First Owner,16.4,913.0,64.1,7
Tata Nexon,Tata,Nexon,2024,5.27,121096,CNG,Individual,Manual,First Owner,20.7,1615.0,110.1,5
Hyundai Verna,Hyundai,Verna,2023,6.68,56754,Petrol,Trustmark Dealer,Manual,First Owner,20.7,800.0,56.1,5
Tata Tiago,Tata,Tiago,2019,3.56,92561,Petrol,Dealer,Manual,Second Owner,19.2,1118.0,78.3,7
Renault Triber,Renault,Triber,2014,2.86,113683,Electric,Dealer,Automatic,First Owner,,1709.0,104.0,5
Hyundai Creta,Hyundai,Creta,2022,5.85,60763,Petrol,Individual,Manual,First Owner,15.3,1450.0,87.2,5
Maruti Baleno,Maruti,Baleno,2013,1.85,163977,Petrol,Trustmark Dealer,Automatic,First Owner,18.4,1082.0,75.9,5
Hyundai Verna,Hyundai,Verna,2016,2.66,95694,Diesel,Dealer,Manual,First Owner,20.7,800.0,51.8,5
Hyundai Creta,Hyundai,Creta,2016,2.98,100070,Petrol,Dealer,Automatic,Second Owner,20.2,800.0,65.4,7
Ford Endeavour,Ford,Endeavour,2012,2.08,101575,Petrol,Individual,Manual,First Owner,14.1,1686.0,112.5,5
Honda WR-V,Honda,WR-V,2022,6.94,54832,Diesel,Individual,Manual,Second Owner,20.0,1078.0,68.2,5
Volkswagen Virtus,Volkswagen,Virtus,2018,3.51,59915,Diesel,Dealer,Manual,Second Owner,18.8,1175.0,81.3,5
Ford Aspire,Ford,Aspire,2016,2.44,124399,Diesel,Individual,Manual,Second Owner,18.6,1299.0,80.3,5
Tata Tiago,Tata,Tiago,2018,2.48,159093,Petrol,Individual,Manual,Second Owner,22.0,800.0,46.2,5
Renault Kiger,Renault,Kiger,2012,2.12,128433,Diesel,Individual,Manual,First Owner,17.2,1343.0,84.1,5
Maruti Swift,Maruti,Swift,2017,2.03,67331,Diesel,Individual,Manual,Third Owner,18.8,1053.0,72.5,5
Maruti Baleno,Maruti,Baleno,2018,2.42,117299,Petrol,Individual,Manual,Second Owner,20.7,1303.0,90.8,5
Maruti Baleno,Maruti,Baleno,2016,2.26,94507,Petrol,Dealer,Automatic,First Owner,17.6,998.0,71.1,5
Ford Aspire,Ford,Aspire,2022,4.53,100085,Petrol,Dealer,Automatic,First Owner,16.8,800.0,66.3,5
Tata Nexon,Tata,Nexon,2015,1.98,110795,Petrol,Individual,Manual,First Owner,20.3,1050.0,64.9,5
Maruti Dzire,Maruti,Dzire,2013,2.26,116100,Petrol,Individual,Automatic,First Owner,15.8,1424.0,90.3,5
Honda Jazz,Honda,Jazz,2018,3.95,93584,Diesel,Trustmark Dealer,Manual,First Owner,15.4,1338.0,101.7,5
Maruti Swift,Maruti,Swift,2023,5.24,81671,Electric,Individual,Manual,Second Owner,20.0,1211.0,66.2,5
Ford Endeavour,Ford,Endeavour,2016,2.55,105496,Petrol,Individual,Automatic,First Owner,16.3,1514.0,94.7,5
Tata Altroz,Tata,Altroz,2012,2.4,125572,Diesel,Individual,Manual,First Owner,16.2,1129.0,68.5,5
Tata Altroz,Tata,Altroz,2024,5.4,54125,Petrol,Individual,Manual,First Owner,22.1,1220.0,80.5,5
Hyundai Grand i10,Hyundai,Grand i10,2017,2.79,76019,Petrol,Dealer,Manual,First Owner,16.0,1032.0,68.3,5
Toyota Glanza,Toyota,Glanza,2014,3.84,132234,Diesel,Individual,Manual,First Owner,16.3,1535.0,104.2,5
Tata Tiago,Tata,Tiago,2020,4.07,45192,Petrol,Dealer,Manual,Second Owner,14.0,1302.0,88.7,5
Maruti Baleno,Maruti,Baleno,2016,1.76,100729,CNG,Individual,Manual,First Owner,20.0,1005.0,59.8,5
Maruti Wagon R,Maruti,Wagon R,2024,5.14,75206,Petrol,Trustmark Dealer,Manual,Third Owner,19.3,800.0,54.3,7
Mahindra Scorpio,Mahindra,Scorpio,2015,2.97,123667,Petrol,Dealer,Manual,Second Owner,17.8,1587.0,102.3,5
Kia Carens,Kia,Carens,2019,4.89,103987,Petrol,Individual,Manual,Second Owner,19.7,940.0,72.6,5
Ford Figo,Ford,Figo,2019,3.98,89568,Petrol,Individual,Manual,First Owner,20.9,1225.0,101.8,5
Hyundai Verna,Hyundai,Verna,2015,2.56,142734,CNG,Individual,Automatic,Second Owner,12.9,2023.0,131.9,5
Mahindra XUV500,Mahindra,XUV500,2018,4.12,117843,Diesel,Trustmark Dealer,Automatic,Third Owner,13.6,1481.0,88.4,5
Volkswagen Vento,Volkswagen,Vento,2013,2.37,139815,Petrol,Dealer,Manual,Second Owner,15.7,1764.0,111.3,5
Ford EcoSport,Ford,EcoSport,2020,4.61,104906,Petrol,Individual,Automatic,First Owner,18.9,1012.0,72.1,5
Tata Nexon,Tata,Nexon,2021,4.75,94509,Diesel,Individual,Manual,First Owner,12.6,1575.0,97.5,5
Hyundai Grand i10,Hyundai,Grand i10,2024,8.02,48831,Diesel,Trustmark Dealer,Manual,First Owner,16.2,1209.0,85.3,5
Maruti Dzire,Maruti,Dzire,2016,2.01,80934,Petrol,Dealer,Manual,First Owner,16.1,1328.0,69.9,7
Kia Carens,Kia,Carens,2015,2.71,126247,Petrol,Individual,Manual,Second Owner,17.5,1907.0,124.3,5
Tata Nexon,Tata,Nexon,2019,3.46,103013,Petrol,Individual,Automatic,Second Owner,20.3,,71.8,5
Hyundai Verna,Hyundai,Verna,2021,5.92,101990,Petrol,Individual,Automatic,First Owner,17.6,1207.0,80.5,5
Hyundai Creta,Hyundai,Creta,2024,6.79,37900,Petrol,Dealer,Manual,First Owner,21.0,,75.3,7
Honda City,Honda,City,2012,2.29,116558,Petrol,Dealer,Manual,Second Owner,12.5,1511.0,88.0,7
Maruti Baleno,Maruti,Baleno,2015,1.92,127117,Petrol,Dealer,Manual,First Owner,18.3,1004.0,72.4,5
Renault Kiger,Renault,Kiger,2015,2.2,115434,Petrol,Individual,Manual,First Owner,17.1,1558.0,107.0,5
Volkswagen Virtus,Volkswagen,Virtus,2015,2.51,75513,Petrol,Dealer,Manual,Second Owner,20.9,800.0,60.4,7
Ford Aspire,Ford,Aspire,2018,3.26,105752,CNG,Individual,Automatic,Second Owner,16.2,1392.0,78.6,5
Tata Nexon,Tata,Nexon,2023,6.18,24246,Diesel,Dealer,Automatic,First Owner,19.5,975.0,79.4,5
Toyota Etios,Toyota,Etios,2012,4.78,115704,Petrol,Individual,Automatic,First Owner,17.6,1456.0,93.4,5
Toyota Etios,Toyota,Etios,2022,8.63,101236,Petrol,Dealer,Manual,First Owner,18.3,1195.0,76.5,5
Toyota Fortuner,Toyota,Fortuner,2020,6.0,124647,Petrol,Individual,Manual,First Owner,21.1,1013.0,68.2,5
Maruti Baleno,Maruti,Baleno,2019,2.97,64255,CNG,Dealer,Manual,Second Owner,19.7,1065.0,70.5,5
Tata Altroz,Tata,Altroz,2020,4.14,77253,Diesel,Dealer,Automatic,Second Owner,21.0,902.0,55.1,5
Maruti Swift,Maruti,Swift,2013,2.1,130937,Petrol,Dealer,Manual,First Owner,20.1,1493.0,98.4,5
Honda Amaze,Honda,Amaze,2021,5.2,117186,CNG,Individual,Manual,First Owner,,833.0,56.0,5
Hyundai Creta,Hyundai,Creta,2015,2.68,106156,Diesel,Dealer,Manual,First Owner,22.3,1107.0,81.3,5
Maruti Baleno,Maruti,Baleno,2018,2.93,87008,Diesel,Individual,Automatic,First Owner,16.3,1321.0,91.8,5
Maruti Wagon R,Maruti,Wagon R,2020,3.84,118571,Petrol,Individual,Automatic,First Owner,12.0,1765.0,125.1,5
Toyota Etios,Toyota,Etios,2019,6.21,82754,Petrol,Dealer,Manual,First Owner,18.1,1197.0,79.1,7
Maruti Swift,Maruti,Swift,2016,2.06,126388,Diesel,Dealer,Manual,Second Owner,18.4,1115.0,69.9,5
Kia Sonet,Kia,Sonet,2017,4.84,71502,Petrol,Individual,Automatic,First Owner,20.7,1296.0,74.5,5
Toyota Innova,Toyota,Innova,2018,5.38,93732,Diesel,Trustmark Dealer,Manual,Second Owner,18.3,800.0,76.5,5
Hyundai Grand i10,Hyundai,Grand i10,2012,3.06,99988,Diesel,Individual,Manual,First Owner,20.4,800.0,64.3,5
Toyota Glanza,Toyota,Glanza,2021,9.21,54780,Petrol,Trustmark Dealer,Manual,Second Owner,19.9,1069.0,68.3,5
Maruti Baleno,Maruti,Baleno,2013,1.83,148462,Petrol,Dealer,Manual,Third Owner,19.9,950.0,80.8,5
Mahindra Thar,Mahindra,Thar,2017,2.94,102902,Petrol,Trustmark Dealer,Manual,First Owner,20.2,800.0,69.8,7
Honda Jazz,Honda,Jazz,2020,5.32,77479,Petrol,Dealer,Automatic,First Owner,17.4,1500.0,86.7,5
Volkswagen Virtus,Volkswagen,Virtus,2013,2.62,113527,Diesel,Trustmark Dealer,Manual,Second Owner,20.0,1291.0,80.0,5
Maruti Dzire,Maruti,Dzire,2024,5.05,53645,Diesel,Dealer,Manual,First Owner,21.1,,82.6,5
Honda Jazz,Honda,Jazz,2016,2.76,117124,Petrol,Individual,Manual,First Owner,19.7,957.0,59.1,7
Honda Amaze,Honda,Amaze,2012,2.41,158124,Diesel,Individual,Manual,First Owner,16.5,1228.0,81.8,7
Kia Carens,Kia,Carens,2020,6.52,26746,Petrol,Dealer,Manual,Second Owner,20.4,1380.0,96.6,5
Honda City,Honda,City,2019,4.23,72701,Diesel,Individual,Manual,First Owner,16.7,1107.0,,5
Tata Altroz,Tata,Altroz,2020,3.44,88000,Petrol,Trustmark Dealer,Manual,First Owner,21.0,1356.0,91.9,5
Hyundai Verna,Hyundai,Verna,2021,5.5,75825,Diesel,Individual,Manual,First Owner,22.6,921.0,75.0,5
Hyundai i20,Hyundai,i20,2018,3.34,106374,Diesel,Dealer,Manual,First Owner,21.1,,86.1,5
Honda Amaze,Honda,Amaze,2022,6.59,77385,Petrol,Individual,Manual,First Owner,17.5,1600.0,102.4,7
Tata Tiago,Tata,Tiago,2016,2.37,103792,Diesel,Dealer,Manual,Second Owner,11.7,1631.0,99.4,5
Maruti Dzire,Maruti,Dzire,2019,2.91,79409,CNG,Trustmark Dealer,Manual,Second Owner,13.7,1665.0,113.2,7
Renault Kiger,Renault,Kiger,2014,1.9,118098,Petrol,Individual,Manual,First Owner,18.4,1300.0,77.1,5
Kia EV6,Kia,EV6,2020,6.12,109772,Diesel,Dealer,Manual,First Owner,16.9,1211.0,83.5,7
Maruti Baleno,Maruti,Baleno,2015,2.46,100895,Electric,Individual,Automatic,Second Owner,18.6,1043.0,72.6,5
Honda Jazz,Honda,Jazz,2021,5.56,76618,CNG,Dealer,Manual,Second Owner,,800.0,68.0,5
Maruti Baleno,Maruti,Baleno,2022,4.49,75533,Petrol,Dealer,Automatic,First Owner,20.2,800.0,54.3,5
Ford Aspire,Ford,Aspire,2023,6.67,99327,Diesel,Individual,Manual,First Owner,16.2,1141.0,73.8,5
Hyundai i20,Hyundai,i20,2024,8.9,51893,Electric,Individual,Automatic,First Owner,20.3,1162.0,69.0,7
Toyota Fortuner,Toyota,Fortuner,2013,3.85,151093,Diesel,Individual,Manual,First Owner,16.6,1694.0,111.7,5
Ford Aspire,Ford,Aspire,2013,2.06,157103,Petrol,Individual,Manual,First Owner,15.3,1660.0,102.9,7
Volkswagen Polo,Volkswagen,Polo,2024,6.97,57097,Petrol,Dealer,Manual,First Owner,21.1,960.0,60.9,7
Maruti Wagon R,Maruti,Wagon R,2016,1.88,105864,Diesel,Individual,Manual,First Owner,16.9,1486.0,90.6,5
Kia Sonet,Kia,Sonet,2012,3.91,129260,Petrol,Trustmark Dealer,Automatic,Second Owner,21.9,1033.0,76.1,5
Hyundai Creta,Hyundai,Creta,2015,2.75,111371,Petrol,Trustmark Dealer,Manual,Second Owner,17.3,1439.0,85.3,5
Maruti Wagon R,Maruti,Wagon R,2022,4.38,90293,Petrol,Trustmark Dealer,Manual,Second Owner,19.4,1482.0,88.4,5
Honda WR-V,Honda,WR-V,2016,2.71,115582,Diesel,Dealer,Manual,First Owner,12.2,1635.0,112.1,5
Tata Nexon,Tata,Nexon,2012,2.26,141676,Petrol,Individual,Manual,First Owner,20.2,1028.0,70.2,5
Renault Kiger,Renault,Kiger,2021,4.41,53245,CNG,Dealer,Manual,First Owner,15.6,1555.0,108.2,5
Volkswagen Polo,Volkswagen,Polo,2014,2.8,102215,Diesel,Dealer,Automatic,Second Owner,18.8,800.0,56.1,5
Hyundai i20,Hyundai,i20,2016,2.73,157655,Electric,Trustmark Dealer,Manual,First Owner,18.1,1654.0,106.0,5
Mahindra Thar,Mahindra,Thar,2012,3.17,132587,CNG,Individual,Automatic,First Owner,20.2,1191.0,81.8,7
Hyundai i20,Hyundai,i20,2019,3.76,73955,Petrol,Individual,Manual,Third Owner,14.3,1199.0,92.0,7
Honda Amaze,Honda,Amaze,2017,3.21,135484,Diesel,Trustmark Dealer,Automatic,Second Owner,22.0,800.0,69.4,5
Hyundai i20,Hyundai,i20,2023,6.83,71199,Petrol,Dealer,Manual,First Owner,20.3,1064.0,82.7,5
Kia Seltos,Kia,Seltos,2016,4.34,123219,Electric,Individual,Manual,Second Owner,14.3,1674.0,102.0,5
Maruti Swift,Maruti,Swift,2014,2.06,120462,Petrol,Dealer,Automatic,First Owner,17.5,1051.0,64.9,5
Maruti Baleno,Maruti,Baleno,2014,2.07,116489,Diesel,Individual,Manual,First Owner,13.8,1450.0,,5
Tata Altroz,Tata,Altroz,2014,2.24,119769,Diesel,Individual,Manual,First Owner,17.6,1212.0,92.7,5
Mahindra Bolero,Mahindra,Bolero,2017,3.17,73579,Petrol,Individual,Manual,First Owner,15.9,1572.0,110.8,5
Kia Carens,Kia,Carens,2013,3.16,128065,Diesel,Individual,Manual,Second Owner,19.6,1267.0,84.8,5
Volkswagen Polo,Volkswagen,Polo,2017,3.0,110512,Petrol,Individual,Automatic,First Owner,20.7,874.0,68.9,5
Kia Sonet,Kia,Sonet,2023,9.27,105710,Petrol,Individual,Automatic,First Owner,16.1,1220.0,88.1,5
Kia Sonet,Kia,Sonet,2021,6.97,79891,Petrol,Individual,Manual,Third Owner,15.7,1760.0,113.0,5
Honda Jazz,Honda,Jazz,2020,5.23,33148,Petrol,Individual,Automatic,First Owner,16.9,1374.0,92.1,5
Hyundai Creta,Hyundai,Creta,2023,6.53,62932,Diesel,Individual,Manual,First Owner,16.7,1159.0,79.5,7
Volkswagen Vento,Volkswagen,Vento,2022,6.33,131769,CNG,Individual,Automatic,First Owner,10.8,1990.0,118.1,5
Ford Aspire,Ford,Aspire,2020,4.34,103560,Petrol,Dealer,Manual,First Owner,17.3,1606.0,97.8,5
Tata Nexon,Tata,Nexon,2023,5.87,47160,Diesel,Dealer,Manual,First Owner,17.6,1486.0,91.1,5
Maruti Baleno,Maruti,Baleno,2013,2.1,143004,CNG,Individual,Manual,First Owner,18.8,1311.0,74.3,5
Volkswagen Taigun,Volkswagen,Taigun,2022,7.39,55175,Diesel,Individual,Manual,Second Owner,15.5,1456.0,96.2,5
Hyundai Verna,Hyundai,Verna,2015,2.59,87216,Petrol,Dealer,Manual,First Owner,17.2,1467.0,95.4,5
Kia Carens,Kia,Carens,2021,6.71,70335,CNG,Dealer,Manual,First Owner,17.8,800.0,65.1,5
Hyundai Verna,Hyundai,Verna,2023,6.59,67013,Petrol,Trustmark Dealer,Manual,First Owner,15.6,1338.0,98.7,5
Maruti Dzire,Maruti,Dzire,2018,2.57,56312,Diesel,Trustmark Dealer,Manual,Second Owner,18.7,1144.0,88.5,5
Renault Kiger,Renault,Kiger,2013,2.36,104718,Diesel,Dealer,Manual,First Owner,19.8,1025.0,82.7,5
Maruti Wagon R,Maruti,Wagon R,2016,2.02,110727,Diesel,Dealer,Manual,First Owner,15.5,1132.0,71.2,5
Maruti Dzire,Maruti,Dzire,2017,2.08,95020,Petrol,Individual,Manual,Third Owner,18.4,800.0,47.5,7
Toyota Innova,Toyota,Innova,2024,11.28,67185,Petrol,Dealer,Automatic,First Owner,19.8,800.0,66.4,5
Kia Sonet,Kia,Sonet,2024,9.84,31777,Diesel,Trustmark Dealer,Manual,First Owner,17.8,1636.0,116.0,7
Maruti Dzire,Maruti,Dzire,2019,2.64,106710,Petrol,Dealer,Automatic,First Owner,15.8,1362.0,102.4,5
Hyundai i20,Hyundai,i20,2024,8.56,32457,Petrol,Individual,Automatic,First Owner,20.8,800.0,62.9,5
Volkswagen Virtus,Volkswagen,Virtus,2017,2.83,140140,Diesel,Individual,Manual,Third Owner,19.9,998.0,53.9,7
Mahindra Bolero,Mahindra,Bolero,2017,3.67,66253,Diesel,Individual,Manual,First Owner,16.1,1508.0,100.9,5
Honda WR-V,Honda,WR-V,2022,6.31,47463,Petrol,Individual,Manual,First Owner,19.4,1102.0,80.1,5
Maruti Swift,Maruti,Swift,2020,3.0,93682,Petrol,Dealer,Automatic,First Owner,13.2,1636.0,115.0,7
Maruti Wagon R,Maruti,Wagon R,2018,2.56,134113,Electric,Dealer,Manual,First Owner,15.0,1567.0,112.6,5
Hyundai Grand i10,Hyundai,Grand i10,2017,2.87,110930,Petrol,Individual,Automatic,First Owner,23.4,800.0,66.3,7
Maruti Dzire,Maruti,Dzire,2021,3.66,90382,Petrol,Dealer,Automatic,Second Owner,21.6,1150.0,73.6,5
Ford Endeavour,Ford,Endeavour,2021,3.98,78385,Petrol,Individual,Manual,First Owner,20.9,1043.0,64.1,5
Maruti Dzire,Maruti,Dzire,2018,2.54,74919,Petrol,Individual,Automatic,Second Owner,22.8,800.0,63.3,5
Honda City,Honda,City,2012,2.99,125716,Electric,Individual,Manual,Second Owner,16.9,800.0,52.7,5
Ford EcoSport,Ford,EcoSport,2013,2.68,103337,Petrol,Individual,Automatic,First Owner,18.0,918.0,77.3,7
Toyota Innova,Toyota,Innova,2013,4.88,101868,Petrol,Dealer,Automatic,Second Owner,19.0,976.0,55.0,5
Maruti Wagon R,Maruti,Wagon R,2018,2.84,106338,Petrol,Dealer,Manual,Second Owner,22.6,1299.0,91.0,5
Volkswagen Virtus,Volkswagen,Virtus,2019,4.28,66290,Petrol,Dealer,Manual,First Owner,15.7,1565.0,103.6,7
Ford Aspire,Ford,Aspire,2022,5.13,78530,Petrol,Individual,Manual,First Owner,18.8,1380.0,89.2,7
Ford Endeavour,Ford,Endeavour,2015,3.63,88359,Electric,Dealer,Automatic,First Owner,17.6,1463.0,88.1,5
Maruti Swift,Maruti,Swift,2022,3.72,78020,Diesel,Individual,Manual,First Owner,19.6,1107.0,59.4,5
Maruti Swift,Maruti,Swift,2020,3.1,73748,Petrol,Individual,Automatic,Second Owner,17.1,1411.0,88.4,7
Kia Carens,Kia,Carens,2012,2.94,167445,Petrol,Dealer,Manual,First Owner,16.2,1148.0,74.0,5
Tata Tiago,Tata,Tiago,2016,2.36,117621,Petrol,Dealer,Manual,First Owner,13.8,1045.0,81.4,5
Hyundai Grand i10,Hyundai,Grand i10,2015,2.76,144187,Petrol,Trustmark Dealer,Automatic,First Owner,17.2,1864.0,111.3,5
Honda Jazz,Honda,Jazz,2023,6.33,48375,Diesel,Individual,Manual,First Owner,19.3,800.0,62.6,5
