car_name,brand,model,year,selling_price_lakh,km_driven,fuel,seller_type,transmission,owner,mileage_kmpl,engine_cc,max_power_bhp,seats,car_age,price_per_10k_km,price_segment,mileage_category,age_group
Mahindra Scorpio,Mahindra,Scorpio,2020,4.3,90391,Petrol,Individual,Manual,First Owner,22.1,800.0,49.2,5,5,0.47571107743027513,Mid-range,High,4-7 years
Kia EV6,Kia,EV6,2017,3.65,77320,Diesel,Individual,Manual,First Owner,18.3,1131.0,70.6,5,8,0.47206414899120536,Budget,High,8-12 years
Volkswagen Vento,Volkswagen,Vento,2023,6.82,74404,CNG,Individual,Manual,First Owner,18.7,1582.0,109.7,7,2,0.9166173861620343,Mid-range,High,0-3 years
Maruti Dzire,Maruti,Dzire,2013,1.51,187782,CNG,Dealer,Manual,First Owner,18.3,1514.0,96.9,5,12,0.08041239309411978,Budget,High,8-12 years
Tata Nexon,Tata,Nexon,2015,2.24,146703,CNG,Dealer,Manual,First Owner,19.2,1170.0,77.6,5,10,0.15268944738689735,Budget,High,8-12 years
Maruti Dzire,Maruti,Dzire,2013,1.88,145803,Petrol,Dealer,Manual,First Owner,11.5,1795.0,122.2,7,12,0.12894110546422227,Budget,Low,8-12 years
Maruti Baleno,Maruti,Baleno,2021,3.93,76116,Petrol,Dealer,Automatic,Second Owner,17.7,1066.0,66.3,5,4,0.5163172000630617,Budget,Medium,4-7 years
Ford Aspire,Ford,Aspire,2015,2.91,74347,Diesel,Individual,Manual,First Owner,24.1,949.0,49.3,7,10,0.39140785774812703,Budget,High,8-12 years
Volkswagen Taigun,Volkswagen,Taigun,2016,3.61,81409,Electric,Dealer,Automatic,Second Owner,16.4,1036.0,65.2,5,9,0.44343991450576714,Budget,Medium,8-12 years
Mahindra XUV500,Mahindra,XUV500,2022,6.32,99721,Diesel,Individual,Manual,First Owner,21.5,807.0,61.3,5,3,0.6337682133151493,Mid-range,High,0-3 years
Hyundai i20,Hyundai,i20,2016,2.42,93125,Petrol,Dealer,Automatic,First Owner,12.1,1418.0,91.0,7,9,0.25986577181208054,Budget,Medium,8-12 years
Tata Harrier,Tata,Harrier,2013,2.7,114616,Diesel,Individual,Automatic,Third Owner,15.1,1214.0,74.1,5,12,0.23556920499755707,Budget,Medium,8-12 years
Tata Harrier,Tata,Harrier,2012,2.1,132855,Diesel,Individual,Manual,First Owner,18.9,1413.0,100.8,5,13,0.1580670655978322,Budget,High,13+ years
Maruti Dzire,Maruti,Dzire,2014,1.91,100134,CNG,Individual,Manual,First Owner,19.2,1055.0,74.3,5,11,0.1907444025006491,Budget,High,8-12 years
Maruti Baleno,Maruti,Baleno,2023,5.08,38011,Diesel,Individual,Manual,First Owner,17.7,1180.0,83.0,5,2,1.3364552366420248,Mid-range,Medium,0-3 years
Tata Harrier,Tata,Harrier,2019,3.81,89889,Petrol,Individual,Manual,First Owner,18.9,800.0,62.4,7,6,0.42385608917665124,Budget,High,4-7 years
Hyundai i20,Hyundai,i20,2024,6.84,38886,Petrol,Individual,Manual,First Owner,13.6,1332.0,77.9,5,1,1.7589878105230674,Mid-range,Medium,0-3 years
Ford Figo,Ford,Figo,2014,2.15,107197,Petrol,Individual,Manual,First Owner,19.5,1235.0,85.3,5,11,0.20056531432782634,Budget,High,8-12 years
Tata Altroz,Tata,Altroz,2016,2.8,93313,Petrol,Trustmark Dealer,Automatic,First Owner,19.9,815.0,67.1,5,9,0.30006537138448014,Budget,High,8-12 years
Renault Kwid,Renault,Kwid,2014,2.34,134991,CNG,Individual,Automatic,Second Owner,15.5,1214.0,88.1,5,11,0.1733448896593106,Budget,Medium,8-12 years
Ford Aspire,Ford,Aspire,2017,2.74,98893,Petrol,Individual,Manual,First Owner,18.9,1110.0,81.8,5,8,0.2770671331641269,Budget,High,8-12 years
Hyundai Verna,Hyundai,Verna,2019,4.45,87071,Petrol,Dealer,Manual,First Owner,16.1,1818.0,119.1,5,6,0.5110771669097632,Mid-range,Medium,4-7 years
Renault Kwid,Renault,Kwid,2022,4.9,84632,Petrol,Individual,Manual,Second Owner,20.0,829.0,46.7,5,3,0.5789772190188108,Mid-range,High,0-3 years
Volkswagen Virtus,Volkswagen,Virtus,2016,2.52,107375,Diesel,Dealer,Manual,First Owner,17.9,1316.0,87.3,5,9,0.23469150174621653,Budget,Medium,8-12 years
Tata Harrier,Tata,Harrier,2022,4.7,65378,Petrol,Individual,Automatic,Second Owner,20.5,818.0,52.3,5,3,0.7188962647985562,Mid-range,High,0-3 years
Hyundai Verna,Hyundai,Verna,2020,4.62,94849,Petrol,Individual,Manual,First Owner,18.0,1005.0,80.5,5,5,0.48709000622041354,Mid-range,Medium,4-7 years
Ford Aspire,Ford,Aspire,2015,2.29,131700,CNG,Individual,Manual,First Owner,17.9,1297.0,95.4,5,10,0.1738800303720577,Budget,Medium,8-12 years
Maruti Baleno,Maruti,Baleno,2023,4.55,61764,Petrol,Individual,Manual,Second Owner,20.2,1126.0,69.3,5,2,0.7366750858105044,Mid-range,High,0-3 years
Maruti Baleno,Maruti,Baleno,2017,1.86,105773,Petrol,Dealer,Manual,First Owner,20.4,1198.0,80.5,5,8,0.17584827886133514,Budget,High,8-12 years
Maruti Wagon R,Maruti,Wagon R,2013,2.02,112800,Petrol,Dealer,Manual,Second Owner,18.3,1316.0,89.4,5,12,0.17907801418439717,Budget,High,8-12 years
Volkswagen Virtus,Volkswagen,Virtus,2024,7.56,39564,Diesel,Individual,Manual,First Owner,17.9,1027.0,78.7,5,1,1.910828025477707,Mid-range,Medium,0-3 years
Ford Aspire,Ford,Aspire,2023,5.86,81921,Diesel,Trustmark Dealer,Manual,Second Owner,17.9,1509.0,84.6,5,2,0.7153232992761319,Mid-range,Medium,0-3 years
Ford Aspire,Ford,Aspire,2012,1.97,146288,CNG,Individual,Manual,First Owner,19.9,1093.0,57.4,5,13,0.1346658645958657,Budget,High,13+ years
Volkswagen Virtus,Volkswagen,Virtus,2023,7.32,75016,Petrol,Individual,Automatic,First Owner,17.1,1166.0,79.4,7,2,0.9757918310760372,Mid-range,Medium,0-3 years
Tata Nexon,Tata,Nexon,2024,6.83,64678,Electric,Dealer,Manual,First Owner,16.7,1326.0,67.7,5,1,1.0560004947586505,Mid-range,Medium,0-3 years
Honda Amaze,Honda,Amaze,2022,7.47,72516,Diesel,Dealer,Automatic,Third Owner,19.3,1214.0,86.6,5,3,1.0301174913122622,Mid-range,High,0-3 years
Maruti Baleno,Maruti,Baleno,2015,1.56,132321,Petrol,Individual,Manual,First Owner,19.8,1425.0,98.1,5,10,0.11789511868864352,Budget,High,8-12 years
Maruti Baleno,Maruti,Baleno,2020,3.25,105072,Petrol,Individual,Manual,First Owner,14.1,1311.0,97.0,5,5,0.3093117100654789,Budget,Medium,4-7 years
Ford Aspire,Ford,Aspire,2018,3.09,117547,Petrol,Individual,Automatic,Second Owner,20.7,1364.0,85.0,5,7,0.26287357397466543,Budget,High,4-7 years
Tata Altroz,Tata,Altroz,2020,3.86,82282,CNG,Individual,Manual,First Owner,21.3,1086.0,76.0,7,5,0.469118397705452,Budget,High,4-7 years
Honda WR-V,Honda,WR-V,2020,4.72,115013,Petrol,Dealer,Manual,First Owner,20.8,826.0,65.6,5,5,0.4103883908775529,Mid-range,High,4-7 years
Volkswagen Virtus,Volkswagen,Virtus,2020,4.38,89526,Petrol,Individual,Manual,First Owner,20.1,800.0,49.6,7,5,0.4892433483010522,Mid-range,High,4-7 years
Toyota Fortuner,Toyota,Fortuner,2018,5.94,111412,Diesel,Dealer,Automatic,First Owner,21.3,800.0,66.3,5,7,0.533156212975263,Mid-range,High,4-7 years
Honda City,Honda,City,2020,5.25,90705,CNG,Individual,Automatic,First Owner,13.6,1817.0,117.1,5,5,0.5787994046634696,Mid-range,Medium,4-7 years
Honda Jazz,Honda,Jazz,2018,3.1,102934,Diesel,Individual,Manual,First Owner,20.2,800.0,54.2,5,7,0.30116385256572176,Budget,High,4-7 years
Hyundai Grand i10,Hyundai,Grand i10,2012,2.5,120313,Diesel,Individual,Manual,First Owner,13.1,1618.0,105.1,5,13,0.2077913442437642,Budget,Medium,13+ years
Maruti Baleno,Maruti,Baleno,2012,1.92,151929,Petrol,Individual,Manual,First Owner,16.4,913.0,64.1,7,13,0.12637481981715143,Budget,Medium,13+ years
Tata Nexon,Tata,Nexon,2024,5.27,121096,CNG,Individual,Manual,First Owner,20.7,1615.0,110.1,5,1,0.43519191385347156,Mid-range,High,0-3 years
Hyundai Verna,Hyundai,Verna,2023,6.68,56754,Petrol,Trustmark Dealer,Manual,First Owner,20.7,800.0,56.1,5,2,1.177009549987666,Mid-range,High,0-3 years
Tata Tiago,Tata,Tiago,2019,3.56,92561,Petrol,Dealer,Manual,Second Owner,19.2,1118.0,78.3,7,6,0.3846112293514547,Budget,High,4-7 years
Renault Triber,Renault,Triber,2014,2.86,113683,Electric,Dealer,Automatic,First Owner,18.3,1709.0,104.0,5,11,0.2515767529006096,Budget,High,8-12 years
Hyundai Creta,Hyundai,Creta,2022,5.85,60763,Petrol,Individual,Manual,First Owner,15.3,1450.0,87.2,5,3,0.9627569409015354,Mid-range,Medium,0-3 years
Maruti Baleno,Maruti,Baleno,2013,1.85,163977,Petrol,Trustmark Dealer,Automatic,First Owner,18.4,1082.0,75.9,5,12,0.11282070046408949,Budget,High,8-12 years
Hyundai Verna,Hyundai,Verna,2016,2.66,95694,Diesel,Dealer,Manual,First Owner,20.7,800.0,51.8,5,9,0.27796936067047046,Budget,High,8-12 years
Hyundai Creta,Hyundai,Creta,2016,2.98,100070,Petrol,Dealer,Automatic,Second Owner,20.2,800.0,65.4,7,9,0.2977915459178575,Budget,High,8-12 years
Ford Endeavour,Ford,Endeavour,2012,2.08,101575,Petrol,Individual,Manual,First Owner,14.1,1686.0,112.5,5,13,0.2047747969480679,Budget,Medium,13+ years
Honda WR-V,Honda,WR-V,2022,6.94,54832,Diesel,Individual,Manual,Second Owner,20.0,1078.0,68.2,5,3,1.2656842719579808,Mid-range,High,0-3 years
Volkswagen Virtus,Volkswagen,Virtus,2018,3.51,59915,Diesel,Dealer,Manual,Second Owner,18.8,1175.0,81.3,5,7,0.5858299257281148,Budget,High,4-7 years
Ford Aspire,Ford,Aspire,2016,2.44,124399,Diesel,Individual,Manual,Second Owner,18.6,1299.0,80.3,5,9,0.19614305581234576,Budget,High,8-12 years
Tata Tiago,Tata,Tiago,2018,2.48,159093,Petrol,Individual,Manual,Second Owner,22.0,800.0,46.2,5,7,0.15588366552896732,Budget,High,4-7 years
Renault Kiger,Renault,Kiger,2012,2.12,128433,Diesel,Individual,Manual,First Owner,17.2,1343.0,84.1,5,13,0.16506661060630837,Budget,Medium,13+ years
Maruti Swift,Maruti,Swift,2017,2.03,67331,Diesel,Individual,Manual,Third Owner,18.8,1053.0,72.5,5,8,0.3014955963820528,Budget,High,8-12 years
Maruti Baleno,Maruti,Baleno,2018,2.42,117299,Petrol,Individual,Manual,Second Owner,20.7,1303.0,90.8,5,7,0.20631036922735912,Budget,High,4-7 years
Maruti Baleno,Maruti,Baleno,2016,2.26,94507,Petrol,Dealer,Automatic,First Owner,17.6,998.0,71.1,5,9,0.2391357253960024,Budget,Medium,8-12 years
Ford Aspire,Ford,Aspire,2022,4.53,100085,Petrol,Dealer,Automatic,First Owner,16.8,800.0,66.3,5,3,0.4526152770145377,Mid-range,Medium,0-3 years
Tata Nexon,Tata,Nexon,2015,1.98,110795,Petrol,Individual,Manual,First Owner,20.3,1050.0,64.9,5,10,0.17870842547046348,Budget,High,8-12 years
Maruti Dzire,Maruti,Dzire,2013,2.26,116100,Petrol,Individual,Automatic,First Owner,15.8,1424.0,90.3,5,12,0.19465977605512488,Budget,Medium,8-12 years
Honda Jazz,Honda,Jazz,2018,3.95,93584,Diesel,Trustmark Dealer,Manual,First Owner,15.4,1338.0,101.7,5,7,0.42208069755513766,Budget,Medium,4-7 years
Maruti Swift,Maruti,Swift,2023,5.24,81671,Electric,Individual,Manual,Second Owner,20.0,1211.0,66.2,5,2,0.6415986090533973,Mid-range,High,0-3 years
Ford Endeavour,Ford,Endeavour,2016,2.55,105496,Petrol,Individual,Automatic,First Owner,16.3,1514.0,94.7,5,9,0.24171532569955256,Budget,Medium,8-12 years
Tata Altroz,Tata,Altroz,2012,2.4,125572,Diesel,Individual,Manual,First Owner,16.2,1129.0,68.5,5,13,0.19112541012327589,Budget,Medium,13+ years
Tata Altroz,Tata,Altroz,2024,5.4,54125,Petrol,Individual,Manual,First Owner,22.1,1220.0,80.5,5,1,0.9976905311778292,Mid-range,High,0-3 years
Hyundai Grand i10,Hyundai,Grand i10,2017,2.79,76019,Petrol,Dealer,Manual,First Owner,16.0,1032.0,68.3,5,8,0.36701350978044966,Budget,Medium,8-12 years
Toyota Glanza,Toyota,Glanza,2014,3.84,132234,Diesel,Individual,Manual,First Owner,16.3,1535.0,104.2,5,11,0.29039430101184266,Budget,Medium,8-12 years
Tata Tiago,Tata,Tiago,2020,4.07,45192,Petrol,Dealer,Manual,Second Owner,14.0,1302.0,88.7,5,5,0.9006018764383078,Mid-range,Medium,4-7 years
Maruti Baleno,Maruti,Baleno,2016,1.76,100729,CNG,Individual,Manual,First Owner,20.0,1005.0,59.8,5,9,0.17472624566907244,Budget,High,8-12 years
Maruti Wagon R,Maruti,Wagon R,2024,5.14,75206,Petrol,Trustmark Dealer,Manual,Third Owner,19.3,800.0,54.3,7,1,0.6834561072254873,Mid-range,High,0-3 years
Mahindra Scorpio,Mahindra,Scorpio,2015,2.97,123667,Petrol,Dealer,Manual,Second Owner,17.8,1587.0,102.3,5,10,0.24016107773294412,Budget,Medium,8-12 years
Kia Carens,Kia,Carens,2019,4.89,103987,Petrol,Individual,Manual,Second Owner,19.7,940.0,72.6,5,6,0.4702510890784425,Mid-range,High,4-7 years
Ford Figo,Ford,Figo,2019,3.98,89568,Petrol,Individual,Manual,First Owner,20.9,1225.0,101.8,5,6,0.4443551268310111,Budget,High,4-7 years
Hyundai Verna,Hyundai,Verna,2015,2.56,142734,CNG,Individual,Automatic,Second Owner,12.9,2023.0,131.9,5,10,0.17935460366836212,Budget,Medium,8-12 years
Mahindra XUV500,Mahindra,XUV500,2018,4.12,117843,Diesel,Trustmark Dealer,Automatic,Third Owner,13.6,1481.0,88.4,5,7,0.34961771170116174,Mid-range,Medium,4-7 years
Volkswagen Vento,Volkswagen,Vento,2013,2.37,139815,Petrol,Dealer,Manual,Second Owner,15.7,1764.0,111.3,5,12,0.16950970925866324,Budget,Medium,8-12 years
Ford EcoSport,Ford,EcoSport,2020,4.61,104906,Petrol,Individual,Automatic,First Owner,18.9,1012.0,72.1,5,5,0.43944102339237034,Mid-range,High,4-7 years
Tata Nexon,Tata,Nexon,2021,4.75,94509,Diesel,Individual,Manual,First Owner,12.6,1575.0,97.5,5,4,0.5025976362039594,Mid-range,Medium,4-7 years
Hyundai Grand i10,Hyundai,Grand i10,2024,8.02,48831,Diesel,Trustmark Dealer,Manual,First Owner,16.2,1209.0,85.3,5,1,1.6423992955294793,Premium,Medium,0-3 years
Maruti Dzire,Maruti,Dzire,2016,2.01,80934,Petrol,Dealer,Manual,First Owner,16.1,1328.0,69.9,7,9,0.2483505078211876,Budget,Medium,8-12 years
Kia Carens,Kia,Carens,2015,2.71,126247,Petrol,Individual,Manual,Second Owner,17.5,1907.0,124.3,5,10,0.214658566144146,Budget,Medium,8-12 years
Tata Nexon,Tata,Nexon,2019,3.46,103013,Petrol,Individual,Automatic,Second Owner,20.3,1214.0,71.8,5,6,0.3358799374836186,Budget,High,4-7 years
Hyundai Verna,Hyundai,Verna,2021,5.92,101990,Petrol,Individual,Automatic,First Owner,17.6,1207.0,80.5,5,4,0.5804490636336895,Mid-range,Medium,4-7 years
Hyundai Creta,Hyundai,Creta,2024,6.79,37900,Petrol,Dealer,Manual,First Owner,21.0,1214.0,75.3,7,1,1.79155672823219,Mid-range,High,0-3 years
Honda City,Honda,City,2012,2.29,116558,Petrol,Dealer,Manual,Second Owner,12.5,1511.0,88.0,7,13,0.1964687108563977,Budget,Medium,13+ years
Maruti Baleno,Maruti,Baleno,2015,1.92,127117,Petrol,Dealer,Manual,First Owner,18.3,1004.0,72.4,5,10,0.1510419534759316,Budget,High,8-12 years
Renault Kiger,Renault,Kiger,2015,2.2,115434,Petrol,Individual,Manual,First Owner,17.1,1558.0,107.0,5,10,0.19058509624547362,Budget,Medium,8-12 years
Volkswagen Virtus,Volkswagen,Virtus,2015,2.51,75513,Petrol,Dealer,Manual,Second Owner,20.9,800.0,60.4,7,10,0.3323930978771867,Budget,High,8-12 years
Ford Aspire,Ford,Aspire,2018,3.26,105752,CNG,Individual,Automatic,Second Owner,16.2,1392.0,78.6,5,7,0.3082684015432332,Budget,Medium,4-7 years
Tata Nexon,Tata,Nexon,2023,6.18,24246,Diesel,Dealer,Automatic,First Owner,19.5,975.0,79.4,5,2,2.5488740410789408,Mid-range,High,0-3 years
Toyota Etios,Toyota,Etios,2012,4.78,115704,Petrol,Individual,Automatic,First Owner,17.6,1456.0,93.4,5,13,0.41312314181013626,Mid-range,Medium,13+ years
Toyota Etios,Toyota,Etios,2022,8.63,101236,Petrol,Dealer,Manual,First Owner,18.3,1195.0,76.5,5,3,0.8524635505156269,Premium,High,0-3 years
Toyota Fortuner,Toyota,Fortuner,2020,6.0,124647,Petrol,Individual,Manual,First Owner,21.1,1013.0,68.2,5,5,0.481359358829334,Mid-range,High,4-7 years
Maruti Baleno,Maruti,Baleno,2019,2.97,64255,CNG,Dealer,Manual,Second Owner,19.7,1065.0,70.5,5,6,0.4622208388452261,Budget,High,4-7 years
Tata Altroz,Tata,Altroz,2020,4.14,77253,Diesel,Dealer,Automatic,Second Owner,21.0,902.0,55.1,5,5,0.5359015183876354,Mid-range,High,4-7 years
Maruti Swift,Maruti,Swift,2013,2.1,130937,Petrol,Dealer,Manual,First Owner,20.1,1493.0,98.4,5,12,0.1603824740142206,Budget,High,8-12 years
Honda Amaze,Honda,Amaze,2021,5.2,117186,CNG,Individual,Manual,First Owner,18.3,833.0,56.0,5,4,0.4437390131927022,Mid-range,High,4-7 years
Hyundai Creta,Hyundai,Creta,2015,2.68,106156,Diesel,Dealer,Manual,First Owner,22.3,1107.0,81.3,5,10,0.25245864576660765,Budget,High,8-12 years
Maruti Baleno,Maruti,Baleno,2018,2.93,87008,Diesel,Individual,Automatic,First Owner,16.3,1321.0,91.8,5,7,0.3367506436189776,Budget,Medium,4-7 years
Maruti Wagon R,Maruti,Wagon R,2020,3.84,118571,Petrol,Individual,Automatic,First Owner,12.0,1765.0,125.1,5,5,0.32385659225274305,Budget,Low,4-7 years
Toyota Etios,Toyota,Etios,2019,6.21,82754,Petrol,Dealer,Manual,First Owner,18.1,1197.0,79.1,7,6,0.7504168982768205,Mid-range,High,4-7 years
Maruti Swift,Maruti,Swift,2016,2.06,126388,Diesel,Dealer,Manual,Second Owner,18.4,1115.0,69.9,5,9,0.16299015729341393,Budget,High,8-12 years
Kia Sonet,Kia,Sonet,2017,4.84,71502,Petrol,Individual,Automatic,First Owner,20.7,1296.0,74.5,5,8,0.6769041425414674,Mid-range,High,8-12 years
Toyota Innova,Toyota,Innova,2018,5.38,93732,Diesel,Trustmark Dealer,Manual,Second Owner,18.3,800.0,76.5,5,7,0.57397687022575,Mid-range,High,4-7 years
Hyundai Grand i10,Hyundai,Grand i10,2012,3.06,99988,Diesel,Individual,Manual,First Owner,20.4,800.0,64.3,5,13,0.30603672440692886,Budget,High,13+ years
Toyota Glanza,Toyota,Glanza,2021,9.21,54780,Petrol,Trustmark Dealer,Manual,Second Owner,19.9,1069.0,68.3,5,4,1.6812705366922236,Premium,High,4-7 years
Maruti Baleno,Maruti,Baleno,2013,1.83,148462,Petrol,Dealer,Manual,Third Owner,19.9,950.0,80.8,5,12,0.12326386550093628,Budget,High,8-12 years
Mahindra Thar,Mahindra,Thar,2017,2.94,102902,Petrol,Trustmark Dealer,Manual,First Owner,20.2,800.0,69.8,7,8,0.2857087325805135,Budget,High,8-12 years
Honda Jazz,Honda,Jazz,2020,5.32,77479,Petrol,Dealer,Automatic,First Owner,17.4,1500.0,86.7,5,5,0.686637669562075,Mid-range,Medium,4-7 years
Volkswagen Virtus,Volkswagen,Virtus,2013,2.62,113527,Diesel,Trustmark Dealer,Manual,Second Owner,20.0,1291.0,80.0,5,12,0.23078210469756094,Budget,High,8-12 years
Maruti Dzire,Maruti,Dzire,2024,5.05,53645,Diesel,Dealer,Manual,First Owner,21.1,1214.0,82.6,5,1,0.9413738465840247,Mid-range,High,0-3 years
Honda Jazz,Honda,Jazz,2016,2.76,117124,Petrol,Individual,Manual,First Owner,19.7,957.0,59.1,7,9,0.23564768962808644,Budget,High,8-12 years
Honda Amaze,Honda,Amaze,2012,2.41,158124,Diesel,Individual,Manual,First Owner,16.5,1228.0,81.8,7,13,0.15241203106422807,Budget,Medium,13+ years
Kia Carens,Kia,Carens,2020,6.52,26746,Petrol,Dealer,Manual,Second Owner,20.4,1380.0,96.6,5,5,2.4377477005907426,Mid-range,High,4-7 years
Honda City,Honda,City,2019,4.23,72701,Diesel,Individual,Manual,First Owner,16.7,1107.0,81.9,5,6,0.5818351879616512,Mid-range,Medium,4-7 years
Tata Altroz,Tata,Altroz,2020,3.44,88000,Petrol,Trustmark Dealer,Manual,First Owner,21.0,1356.0,91.9,5,5,0.3909090909090909,Budget,High,4-7 years
Hyundai Verna,Hyundai,Verna,2021,5.5,75825,Diesel,Individual,Manual,First Owner,22.6,921.0,75.0,5,4,0.7253544345532477,Mid-range,High,4-7 years
Hyundai i20,Hyundai,i20,2018,3.34,106374,Diesel,Dealer,Manual,First Owner,21.1,1214.0,86.1,5,7,0.31398650046063886,Budget,High,4-7 years
Honda Amaze,Honda,Amaze,2022,6.59,77385,Petrol,Individual,Manual,First Owner,17.5,1600.0,102.4,7,3,0.851586224720553,Mid-range,Medium,0-3 years
Tata Tiago,Tata,Tiago,2016,2.37,103792,Diesel,Dealer,Manual,Second Owner,11.7,1631.0,99.4,5,9,0.22834129798057654,Budget,Low,8-12 years
Maruti Dzire,Maruti,Dzire,2019,2.91,79409,CNG,Trustmark Dealer,Manual,Second Owner,13.7,1665.0,113.2,7,6,0.36645720258409,Budget,Medium,4-7 years
Renault Kiger,Renault,Kiger,2014,1.9,118098,Petrol,Individual,Manual,First Owner,18.4,1300.0,77.1,5,11,0.16088333418008774,Budget,High,8-12 years
Kia EV6,Kia,EV6,2020,6.12,109772,Diesel,Dealer,Manual,First Owner,16.9,1211.0,83.5,7,5,0.5575192216594396,Mid-range,Medium,4-7 years
Maruti Baleno,Maruti,Baleno,2015,2.46,100895,Electric,Individual,Automatic,Second Owner,18.6,1043.0,72.6,5,10,0.24381783041776106,Budget,High,8-12 years
Honda Jazz,Honda,Jazz,2021,5.56,76618,CNG,Dealer,Manual,Second Owner,18.3,800.0,68.0,5,4,0.7256780391030827,Mid-range,High,4-7 years
Maruti Baleno,Maruti,Baleno,2022,4.49,75533,Petrol,Dealer,Automatic,First Owner,20.2,800.0,54.3,5,3,0.5944421643520051,Mid-range,High,0-3 years
Ford Aspire,Ford,Aspire,2023,6.67,99327,Diesel,Individual,Manual,First Owner,16.2,1141.0,73.8,5,2,0.6715193250576379,Mid-range,Medium,0-3 years
Hyundai i20,Hyundai,i20,2024,8.9,51893,Electric,Individual,Automatic,First Owner,20.3,1162.0,69.0,7,1,1.7150675428285125,Premium,High,0-3 years
Toyota Fortuner,Toyota,Fortuner,2013,3.85,151093,Diesel,Individual,Manual,First Owner,16.6,1694.0,111.7,5,12,0.2548099514868326,Budget,Medium,8-12 years
